Threshold,TN,FP,FN,TP,Recall,Precision,F1,Total_Cost
0.05,313,136,7,496,0.9861,0.7848,0.874,167200
0.1,351,98,11,492,0.9781,0.8339,0.9003,239600
0.15,375,74,21,482,0.9583,0.8669,0.9103,434800
0.2,383,66,23,480,0.9543,0.8791,0.9152,473200
0.25,386,63,24,479,0.9523,0.8838,0.9167,492600
0.3,389,60,28,475,0.9443,0.8879,0.9152,572000
0.35,390,59,30,473,0.9404,0.8891,0.914,611800
0.4,394,55,33,470,0.9344,0.8952,0.9144,671000
0.45,400,49,37,466,0.9264,0.9049,0.9155,749800
0.5,401,48,37,466,0.9264,0.9066,0.9164,749600
0.55,404,45,41,462,0.9185,0.9112,0.9149,829000
0.6,406,43,45,458,0.9105,0.9142,0.9124,908600
0.65,408,41,47,456,0.9066,0.9175,0.912,948200
0.7,413,36,50,453,0.9006,0.9264,0.9133,1007200
0.75,416,33,58,445,0.8847,0.931,0.9072,1166600
0.8,418,31,66,437,0.8688,0.9338,0.9001,1326200
0.85,421,28,81,422,0.839,0.9378,0.8856,1625600
0.9,428,21,101,402,0.7992,0.9504,0.8683,2024200
0.95,433,16,159,344,0.6839,0.9556,0.7972,3183200
