artifact,path,status,size_bytes,last_modified,sha256
Benchmark log,outputs/logs/benchmarks.log,AVAILABLE,1182,2026-03-15T04:26:17.861574411,4d3697cd075b85c064e62906d82ead7bc9b4c19a5404a119340f4795a730c5fb
Benchmark results (CSV),outputs/benchmark_results.csv,AVAILABLE,232,2026-03-15T06:46:07.660381794,8fe0b5bce1db88aeb60684accccc9183f6e0cedb94e8b0e32f94a9359e0c1320
Benchmark results (JSON),outputs/benchmark_results.json,AVAILABLE,892,2026-03-15T04:26:16.479217291,e2b06b2bc6a37962ef4280da10127fb98a104315454c7644d3838b61185cb806
Dask config,configs/dask_config.yml,AVAILABLE,289,2026-03-15T05:00:06.174547911,3835a0c3d1a6d98241e6968fd268423eeb94727bc4e3d7b172b6731af0fd7453
Fairness metrics (CSV),outputs/tables/fairness_subgroup_metrics.csv,AVAILABLE,424,2026-03-15T04:26:27.214300871,cf94480b6ac31bf37eddfeb4cac653f2dbcf57965bfaeb6571efd58483535987
Fairness metrics (JSON),outputs/tables/fairness_subgroup_metrics.json,AVAILABLE,1421,2026-03-15T04:26:27.214300871,2d27cb4b3005eda1e22dce1250abaee766449bd1d29f5714192fec1bcef3a928
Model artifact: Logistic,outputs/models/logistic.joblib,AVAILABLE,3882,2026-03-15T04:26:24.587830782,d8d9b94d1cec3798c64e090cf8bcfb6cc52102010e72a63fa5a365bca8702f85
Model artifact: Random Forest,outputs/models/random_forest.joblib,AVAILABLE,6234427,2026-03-15T04:26:25.107728720,4ac5a3d950a9bfb3247e0d35c816795be973aa129b5e0decccfae8b5962bf3ac
Output manifest,outputs/outputs_manifest.json,AVAILABLE,4108,2026-03-15T04:29:35.651418924,4ff95fe2bb29a5114724ebb05d9b3127028d05a3b7864c17db61678dd8ec29fc
SHAP runtime metadata,outputs/logs/shap_runtime.json,AVAILABLE,210,2026-03-15T04:29:17.830021143,81e71faaf8791c0063c760e9e6f029a44126460016abf45cfe32ed35020e3174
SHAP summary figure,outputs/figures/shap_summary.png,AVAILABLE,156911,2026-03-15T04:29:16.023111820,ee314b03318434ff0bc087d4ba3b9426c801b1192de222ab8a8bad1d31a1e59c
