Threshold,TN,FP,FN,TP,Recall,Precision,F1,Total_Cost
0.05,303,146,7,496,0.9861,0.7726,0.8664,169200
0.1,348,101,12,491,0.9761,0.8294,0.8968,260200
0.15,368,81,19,484,0.9622,0.8566,0.9064,396200
0.2,375,74,20,483,0.9602,0.8671,0.9113,414800
0.25,379,70,22,481,0.9563,0.873,0.9127,454000
0.3,392,57,25,478,0.9503,0.8935,0.921,511400
0.35,394,55,32,471,0.9364,0.8954,0.9155,651000
0.4,395,54,32,471,0.9364,0.8971,0.9163,650800
0.45,395,54,36,467,0.9284,0.8964,0.9121,730800
0.5,396,53,38,465,0.9245,0.8977,0.9109,770600
0.55,397,52,47,456,0.9066,0.8976,0.9021,950400
0.6,405,44,48,455,0.9046,0.9118,0.9082,968800
0.65,408,41,53,450,0.8946,0.9165,0.9054,1068200
0.7,413,36,59,444,0.8827,0.925,0.9034,1187200
0.75,415,34,64,439,0.8728,0.9281,0.8996,1286800
0.8,421,28,69,434,0.8628,0.9394,0.8995,1385600
0.85,421,28,79,424,0.8429,0.9381,0.888,1585600
0.9,426,23,110,393,0.7813,0.9447,0.8553,2204600
0.95,433,16,162,341,0.6779,0.9552,0.793,3243200
